id;node_orig;node_dest
667;53269;57352
669;103609;61525
670;53949;23920
672;91044;139148
674;77066;4251
675;52201;91044
677;127262;36437
680;372;372
682;75653;84523
683;125;66143
685;89350;79478
686;1446;57979
687;3030;18934
688;3390;15366
689;56205;8601
690;61023;92302
691;18362;4848
692;49786;76461
694;11188;86363
699;57551;4700
700;61065;78716
701;89640;22592
702;89640;22592
703;53959;75236
704;27078;18912
705;49786;79922
706;61276;63060
707;36352;4414
708;89349;155157
709;68749;52178
710;4113;103609
711;11312;10370
712;49785;22883
713;56142;1450
714;92348;17693
717;51635;83907
718;10370;60101
720;22253;4615
721;9757;51380
723;11614;76255
726;103609;106723
727;88887;51757
728;79922;88840
729;4458;106723
730;55002;60706
731;61361;52852
732;59626;24352
733;4702;24359
734;83001;3288
735;49785;76995
736;59869;75239
737;126978;61948
738;79776;62147
742;34561;18783
744;63920;17545
745;9941;79375
749;64800;16745
751;76995;65178
752;71686;51691
756;4370;75118
757;14335;51635
758;68374;54760
759;16745;64800
760;79375;77160
763;63060;4552
764;64060;75539
765;11069;54887
766;77756;77756
767;5344;89640
768;88858;92370
769;87959;55002
770;92370;88858
771;53770;125
772;75269;281
775;87952;89349
776;87952;5358
777;4773;8192
779;77770;53045
780;64078;114
781;21502;75235
782;88894;6686
783;87429;154100
784;17356;55881
785;127139;23904
786;61023;61023
787;64508;56176
789;78874;57768
790;162;56635
791;6614;162
793;79393;55486
794;79649;60928
795;4340;87832
798;90018;85884
799;18934;53250
800;4105;102697
802;68374;54760
805;33800;47608
806;11286;24356
807;60147;401
808;76460;110527
809;76064;17545
810;3638;3661
812;68515;75594
813;3638;88543
814;86884;87020
815;275;76070
816;110527;54803
819;77770;98140
820;76054;75202
821;53776;10375
825;55109;67004
826;5708;21629
828;60099;59242
829;54887;23917
830;65178;58416
831;76255;11614
832;76054;3288
833;64800;64002
834;57768;127155
835;23917;22259
836;12708;47579
839;2637;4452
841;85884;88886
842;6599;6599
845;62193;5591
848;85512;111930
853;8407;9015
854;3264;88680
855;53049;4414
856;6684;68519
857;71063;277
858;401;66143
859;24356;88904
860;44907;54607
861;86366;126978
862;61333;63059
863;3588;51941
864;52512;80244
865;126977;135
866;89349;87952
867;49786;106723
868;55106;79452
869;15764;77169
871;85251;4848
872;54887;58427
873;86366;126978
874;15352;90018
875;85295;60637
876;22665;106723
877;79738;127148
878;4723;79485
880;77169;4641
881;109710;8389
882;17545;88884
883;77097;86719
884;4731;4475
885;282;63981
886;76255;3407
887;88889;61495
888;17693;92348
889;92348;114
890;79777;17693
891;75128;3567
